symbol_clean,slug,context,context_clean,meaning_clean
leopard,leopard,To dream that you kill a leopard,to dream that you kill a leopard,ers to success in your projects
leopard,leopard,To dream that a leopard is attacking you,to dream that a leopard is attacking you,indicates that you are overly confident in your future success you do not realize the difficult struggles and challenges that you will have to endure
leopard,leopard,Dreaming of a black leopard,dreaming of a black leopard,suggests that you are trying to either hide your intentions or conceal your true self
leper,leper,To see a leper in your dream,to see a leper in your dream,indicates rejected aspect of yourself that is unclean or unaccepted by society
leprechaun,leprechaun,To see a leprechaun in your dream,to see a leprechaun in your dream,suggests that through perseverance and dedication you will reap the benefits and rewards of your hard work alternatively the dream means that you are trying to take the quick and easy path to success
leprechaun,leprechaun,To dream that you are a leprechaun,to dream that you are a leprechaun,ers to the mischievous aspect of your personality
leprosy,leprosy,To dream that you have leprosy,to dream that you have leprosy,suggests that you are not utilizing your full potential you are wasting away your talents and abilities
lesbian,lesbian,"If you are not a lesbian in your waking life, but dream that you are a lesbian, ",if you are not a lesbian in your waking life but dream that you are a lesbian,then it signifies a union with aspects of yourself it is symbolic of selflove selfacceptance and passion you are comfortable with your sexuality and femininity if in your dream you abhor the notion of lesbianism then it represents your fears and rejection of aspects of your own sexuality
lesbian,lesbian,"If you are a lesbian in your waking life, ",if you are a lesbian in your waking life,then the dream is simply a lection of your own self
lesson,lesson,To dream about a lesson,to dream about a lesson,indicates that new understanding knowledge or wisdom is coming to light alternatively the dream may be a pun on your need to lessen something in your waking life
letter,letter,To dream that you receive a letter,to dream that you receive a letter,signifies a new opportunity or challenge alternatively the letter represents a message from your subconscious the contents of the letter may offer you some guidance in a current situation consider also how the letter may be a pun on let her
letter,letter,"If you dream that you are sending a letter, ",if you dream that you are sending a letter,then it represents an emotional or important message that you need to get out to someone you need to make yourself heard and get your point across
letter,letter,To tear up a letter in you dream,to tear up a letter in you dream,symbolizes past mistakes and regrets in your life
letter,letter,To see an unopened letter in your dream,to see an unopened letter in your dream,means that you are intentionally ignoring some information you are using to accept the facts about a situation
letter,letter,Dreaming about writing a letter,dreaming about writing a letter,represents something you are trying to convey or express from the heart so if you dream that you have trouble writing a letter then it means that it is difficult for you to express your feelings
letters,letters,To see letters of the alphabet in your dream,to see letters of the alphabet in your dream,symbolize any object animal place associated with or resembling that particular letter for example the letter t may er to a type intersection in a road alternatively you may still be trying to understand some concept or emotion that is still in the primitive stages
lettuce,lettuce,To see lettuce growing in your dream,to see lettuce growing in your dream,represents abundance it points you back to a simpler time
lettuce,lettuce,To dream that you are eating lettuce,to dream that you are eating lettuce,signifies your need for spiritual nourishment it may also mean that you are lacking in a particular nutrient you need to eat a more well balanced diet the dream may also be a pun on let us is there some situation where you are seeking approval or permission
level crossing,level-crossing,To see a level crossing in your dream,to see a level crossing in your dream,symbolizes temporary setbacks toward achieving your goals especially if the gate is going down if the gate is up then it means that you have overcome certain obstacles in your life you are not letting something or something get in your way of your goals
leveler,leveler,To see or use a leveler in your dream,to see or use a leveler in your dream,symbolizes balance and harmony everything is in alignment the dream may also suggest that you need to look at things from a different level in order to gain a new perspective
levitation,levitation,To dream that you are levitating,to dream that you are levitating,suggests that you are holding on to farfetched and outlandish ideas you need to be more realistic alternatively the dream means that you may not be feeling grounded or safe you are feeling helpless and disconnected with those around you
levitation,levitation,To see someone levitating in your dream,to see someone levitating in your dream,represents your desire to be helpful and supportive to others alternatively it indicates that you admire or look up to the person being levitated
levitation,levitation,To dream that you are making someone or something levitate in your dream,to dream that you are making someone or something levitate in your dream,represents your supportive nature alternatively the dream indicates that you are trying to balance too many things in your life it may literally mean that things up are up in the air you do not have a conclusion or decision about something
liar,liar,To dream that someone is calling you a liar,to dream that someone is calling you a liar,denotes that you will be irked by some deceitful person
liar,liar,To dream that you are lying,to dream that you are lying,suggests that you are trying to deceive yourself into believing in something that goes against your natural instincts or long held values ask yourself what you are hiding from yourself or from others
liar,liar,To dream that someone is a liar,to dream that someone is a liar,indicates your growing distrust for that person you may have lost your faith in that individual alternatively it suggests that you are no longer as confident
libra,libra,To dream that someone is a Libra,to dream that someone is a libra,indicates fairness harmony and cooperation you are trying to restore order to your waking life
librarian,librarian,To see or dream that you are a librarian,to see or dream that you are a librarian,indicates a creative and knowledgeable mind
library,library,To dream that you are in a library,to dream that you are in a library,signifies your search for knowledge and your hunger for ideas you may be trying to seek out new meanings to life you need to study and evaluate your situation before taking action if the library is disorganized then it suggests that too much information is coming at you at the same time you are having difficulty sorting it all out
library,library,To dream that you cannot find a book in the library or that the book you are looking for is already checked out,to dream that you cannot find a book in the library or that the book you are looking for is already checked out,suggests that a certain aspect of your self is lacking enrichment or is under developed
library,library,To see a library in your dream,to see a library in your dream,symbolizes the knowledge you have accumulated over the years
lice,lice,To see lice in your dream,to see lice in your dream,signify frustrations distress and feelings of guilt you may be feeling emotionally or physically unclean alternatively the lice represents a person situation or relationship that you want to distance yourself from you may be feeling used or taken advantage of
license,license,To see or carry a license in your dream,to see or carry a license in your dream,represents control over your life you have been given the go ahead to pursue or proceed with a new endeavor in your life
license plate,license-plate,To see a license plate in your dream,to see a license plate in your dream,represents freedom to run your own life and to do what you want to do
lick,lick,To dream that you are licking something,to dream that you are licking something,signifies your need to be more cautious before proceeding on to new situations or adventures you need to be more caul and methodical in your endeavors alternatively it may also represent satisfaction in some minor matters
lick,lick,To dream that you are licked by an animal,to dream that you are licked by an animal,means that you will be called upon for advice
licorice,licorice,To see or eat licorice in your dream,to see or eat licorice in your dream,suggests that you are enjoying a little sweetness in your life you are in a relaxed state of mind alternatively the dream may be a metaphor for someone who is genuinely sweet and kindhearted
lie,lie,liar,liar,liar
lie detector,lie-detector,To see a lie detector in your dream,to see a lie detector in your dream,represents your lack of confidence you are experiencing a loss of faith in others
lie detector,lie-detector,To dream that you are taking a lie detector test,to dream that you are taking a lie detector test,suggests that it is time to face the facts stop being in denial
life jacket,life-jacket,To see or wear a life jacket in your dream,to see or wear a life jacket in your dream,symbolizes security and reinforcement you are in need of some support
life jacket,life-jacket,To dream that you are not wearing a life jacket,to dream that you are not wearing a life jacket,indicates that you want to approach your emotions and problems head on even though it may be painful or uncomfortable
life saver,life-saver,To see or wear a life saver in your dream,to see or wear a life saver in your dream,suggests that you are getting another opportunity or chance take advantage of the opportunity before it slips away alternatively a life saver symbolizes wholeness and completeness the dream may also be a metaphor for someone who has saved you from a jam or difficult situation
life swap,life-swap,To dream that you are switching lives with someone else or that you are living someone else's life,to dream that you are switching lives with someone else or that you are living someone elses life,implies that you need to consider something from someone elses perspective you need to be more sympathetic to others alternatively dreaming of swapping lives represents an escape from your own personal issues and stresses you wished you were someone else
lifeboat,lifeboat,To see a lifeboat in your dream,to see a lifeboat in your dream,suggests that you need help in coping with your emotions you want to be rescued from a current situation that you feel is beyond your control
lifeguard,lifeguard,To see or dream that you are a lifeguard,to see or dream that you are a lifeguard,means that you are keeping your emotions well guarded perhaps you are seeking some guidance and support while you caully explore aspects of your subconscious
lifeline,lifeline,To dream about the lifeline on your palm,to dream about the lifeline on your palm,signifies your ambitions your life and where you want to be headed if your dream lifeline is short then it implies that your goal is within close grasp if the lifeline is long then it means that you still have a long way to go before achieving your goals alternatively to dream about your lifeline may be a reminder that you need to live life to the fullest
lift,lift,To dream that you are being lifted,to dream that you are being lifted,represents that you are rising above some unpleasant situation or issue
light,light,To see light in your dream,to see light in your dream,represents illumination clarity guidance plain understanding and insight light is being shed on a once cloudy situation or problem you have found the truth to a situation or an answer to a problem also consider the color of the light for additional significance
light,light,"If the light is particularly bright, ",if the light is particularly bright,then it indicates that you need to move toward a higher level of awareness and feeling bright light dreams are sometimes common for those who are near death
light,light,To see soft or shadowy lighting in your dreams,to see soft or shadowy lighting in your dreams,indicates feelings and thoughts from the primal aspects and less developed parts of your subconscious
light,light,To dream that you cannot turn on the light,to dream that you cannot turn on the light,indicates a lack of insight and perspective on a situation
light,light,Dreaming of a bright light coming from an object often,dreaming of a bright light coming from an object often,signifies divinity andor a higher consciousness consider the significance of the object and its role in your spirituality or spiritual journey
light,light,"If you see a motion sensor light in your dream, ",if you see a motion sensor light in your dream,then it means that you are taking a step in the right direction
light bulb,light-bulb,To see a light bulb in your dream,to see a light bulb in your dream,suggests that you are ready to accept andor face reality it ers to your consciousness the dream also symbolizes spiritual enlightenment hope new ideas and visions you are approaching a situation from a new direction
light bulb,light-bulb,To see a burned out light bulb in your dream,to see a burned out light bulb in your dream,indicates that you are feeling ineffective you feel that you are out of ideas or that you have nothing to offer
lighter,lighter,To see or use a lighter in your dream,to see or use a lighter in your dream,represents a spark of some new idea
lighthouse,lighthouse,To see a lighthouse in your dream,to see a lighthouse in your dream,indicates that you are seeking guidance during a difficult and tumultuous time
lightning,lightning,To see lightning in your dream,to see lightning in your dream,signifies sudden awareness insight spiritual revelation truth and purification alternatively lightning implies a shocking turn of events there are many forces governing your life that may be beyond your control and even destructive
lightning,lightning,To dream that you are struck by lightning,to dream that you are struck by lightning,symbolizes irreversible changes occurring in your life you are undergoing a permanent transformation
lightsaber,lightsaber,To see or wield a lightsaber in your dream,to see or wield a lightsaber in your dream,signifies being in control you need to channel your inner strength and find the power from within
lilac,lilac,To see lilac in your dream,to see lilac in your dream,indicates disappointments and rejection you should not always rely on what you see or hear
lily,lily,To see lilies in your dream,to see lilies in your dream,symbolize tranquility spirituality faith peace purity joy and bliss it is also connected mourning
lily pad,lily-pad,To see a lily pad in your dream,to see a lily pad in your dream,indicates that you are looking for a break from your emotional journey
limb,limb,To see a tree limb in your dream,to see a tree limb in your dream,symbolizes the relationship and communication between you and your family or relatives alternatively the limb represents your developing abilities and budding talents consider the thickness and condition of the limb the dream may also be a metaphor that you are going on out on a limb the odds are working against you
limb,limb,To dream that you have an invisible limb,to dream that you have an invisible limb,means that you are not realizing your own potential you are not utilizing your full abilities in particular if you dream that you have an invisible arm or hand then it means that you are not doing all that you can if you dream that you have an invisible leg or foot then it implies that you are not going the distance in some task perhaps others are underestimating your abilities
limb,limb,Please also,please also,er to the specific part of the body in the dream moods dictionary
limbo,limbo,To dream that you are dancing the limbo,to dream that you are dancing the limbo,ers to your flexibility in some situation if you are unsuccessful at going under the stick then it implies that you are unyielding in your beliefs or decisions alternatively the dream may be a metaphor that you are in limbo you do not know what to do with your life and feel stuck in your current relationship or circumstance
lime,lime,To see a lime in your dream,to see a lime in your dream,represents temporary setbacks and delays you need to take the good with the bad the prosperous time will come only after you endure some of the difficult times
limestone,limestone,To see limestone in your dream,to see limestone in your dream,ers to your own stubbornness you are being hard headed about some issue
limousine,limousine,To see a limousine in your dream,to see a limousine in your dream,indicates that you have an exaggerated sense of selfworth and selfimportance you may also feel the need to show off and impress others furthermore if the limousine is black then it suggests that your are unwilling to make any changes or yield to others alternatively it may symbolize prestige wealth and power
limping,limping,To dream that you are limping,to dream that you are limping,ers to a lack of balance in some relationship in your life you feel that the relationship is onesided perhaps you feel that you are giving more than you are getting back or viceversa
limping,limping,To see an animal limping in your dream,to see an animal limping in your dream,indicates that you have suffered a setback to your personal freedom
linden,linden,To see a linden tree in your dream,to see a linden tree in your dream,represents joy happiness friendships and beauty the dream also suggests that there is someone watching over you
line,line,To see a line in your dream,to see a line in your dream,symbolizes duality limits boundaries and rules it also relates to movement or nonmovement to dream that you are crossing a line suggests that you are overstepping your boundaries or that you are moving beyond the limits in some area of your life
line,line,To see a line of people or objects,to see a line of people or objects,indicates that you need to be more aware of some situation or relationship
line,line,To dream that you are standing in line,to dream that you are standing in line,represents your need for patience you need to learn to wait for something and not always have it right away
linen,linen,To see or use linens in your dream,to see or use linens in your dream,indicate that you need to slow down and appreciate the finer things in life it symbolizes luxury elegance and sophistication
linen,linen,To fold or sort linens in your dream,to fold or sort linens in your dream,signify domestic bliss
lineup,lineup,To dream that you are standing in a police lineup,to dream that you are standing in a police lineup,indicates fear of being singled out or picked to perform you are harboring some selfguilt
lineup,lineup,Dreaming that you are viewing a police line up or that you are picking someone out of a lineup,dreaming that you are viewing a police line up or that you are picking someone out of a lineup,means that you are making an important decision that will effect the lives of others
lingerie,lingerie,To dream that you are wearing lingerie,to dream that you are wearing lingerie,represents your sexual identity body image and your selfesteem you may finally be recognizing and acknowledging an aspect of yourself that was not previously expressed
lingerie,lingerie,To dream that you are buying or shopping for lingerie,to dream that you are buying or shopping for lingerie,indicates that you are compensating for your inner feelings of emptiness you may be trying to fulfill some sexualemotional need alternatively the dream means that you are looking to change your image and attitude you may feel one way on the inside but behave another way on the outside
lingerie store,lingerie-store,To dream that you are in a lingerie store,to dream that you are in a lingerie store,suggests that you are lacking excitement in your life you are trying to fulfill a void in your sex life alternatively the dream may mean that you are feeling exposed
link,link,To see a link in your dream,to see a link in your dream,represents your connections and relations to others alternatively the link symbolizes a small part in a larger picture do not overlook the role you play in the larger scheme of things no matter how seemingly insignificant it may seem
lion,lion,To see a lion in your dream,to see a lion in your dream,symbolizes great strength courage aggression and power you will overcome some of your emotional difficulties as king of the jungle the lion also represents dignity royalty leadership pride and domination you have much influence over others you also need to exercise some restraint in your own personal and social life alternatively a lion represents your need for control over others you have to be in charge
lion,lion,Dreaming of a dead lion,dreaming of a dead lion,ers to your fall from power or status
lion,lion,To dream that you are attacked by a lion,to dream that you are attacked by a lion,suggests that a force may be driving you to selfdestruction you need to overcome these challenges and obstacles
lion,lion,To see a black lion in your dream,to see a black lion in your dream,represents a negative force you or someone else is using their position of power to do harm
lion,lion,To see a white lion in your dream,to see a white lion in your dream,highlights your majestic power a white lion may also indicate sudden awareness of the power you hold
lion tamer,lion-tamer,To see or dream that you are a lion tamer,to see or dream that you are a lion tamer,suggests that you are able to keep your aggression and strength in check
lioness,lioness,To see a lioness in your dream,to see a lioness in your dream,represents your maternal instincts you will go to great lengths to protect your loved ones and your interests dreaming of an attacking lioness suggests that your personal space is being invaded someone or something is threatening your family circle alternatively a lioness symbolizes hope victory tenacity and stamina
lip balm,lip-balm,To dream that you are applying lip balm,to dream that you are applying lip balm,suggests that there is some misunderstanding in what you are trying to say your words are not coming out right alternatively using lip balm implies that things are not going well in your personal life
lip gloss,lip-gloss,To see or wear lip gloss in your dream,to see or wear lip gloss in your dream,indicates a lack of power in your words you are being more suggestive instead of being more direct or bold
lip piercing,lip-piercing,To dream of getting your lip pierced,to dream of getting your lip pierced,ers to regret over some stinging remarks or hurtful words that you said if you dream that your lip ring keeps falling out then it means that you are trying to take back what you have said
lip synching,lip-synching,To dream that you are lip synching,to dream that you are lip synching,indicates that someone else is speaking on your behalf you need to learn to speak up for yourself and assert your opinions alternatively the dream suggests that you lack your own identity you are trying to live up to the expectations of others
liposuction,liposuction,To dream that you have liposuction,to dream that you have liposuction,represents your preoccupation with your physical shape and appearance alternatively it suggests that you are taking drastic measures to rid yourself of all the responsibilities and things that are weighing you down the dream may also er to your anxiety about an actual liposuction that you are having
lips,lips,To see lips in your dream,to see lips in your dream,signify sensuality sex love and romance especially if they were pursed lips are a means of communication as lected in the familiar phrase read my lips
lips,lips,To dream that you or someone has blue lips,to dream that you or someone has blue lips,indicate illness or possible problems with your blood circulation
lips,lips,To dream that you or someone has black lips,to dream that you or someone has black lips,suggest that you are using to say anything about a particular situation you are remaining completely silent
lipstick,lipstick,"To buy, see, or wear lipstick in your dream",to buy see or wear lipstick in your dream,suggests that you are not entirely truthful about something the dream seeks to draw attention to your lips perhaps you need to be caul about what you or someone else is saying alternatively it signifies sexuality and sensuality especially if the color is red
liquid,liquid,To see a liquid in your dream,to see a liquid in your dream,represents some emotion that you need to confront and deal with consider the color of the liquid to pinpoint what emotion your dream may be highlighting
liquor,liquor,alcohol,alcohol,alcohol
liquor store,liquor-store,To see or dream that you are in a liquor store,to see or dream that you are in a liquor store,suggests that you are lacking spirit and enthusiasm in some area of your life you need to be more positive in your thinking
list,list,To dream that you are making a list,to dream that you are making a list,suggests that you are worried about a problem or situation in your waking life
listen,listen,To dream that you are listening to something,to dream that you are listening to something,indicates that you need to pay closer attention to what you are being told and what you are seeing perhaps your dream is telling you to be more receptive towards the guidance or criticism of others
listen,listen,To dream that no one is listening to you,to dream that no one is listening to you,implies that you are in denial about something
litter,litter,To see or dream that you litter,to see or dream that you litter,symbolizes ideas and issues that you have discarded and have no more use for the litter may also represent a situation or a person who may not be worth your time alternatively the dream suggests that you need to prioritize and organize your ideas and aspects of your life your ideas may be lost in the clutter
litter,litter,To see a litter of newborn animals in your dream ,to see a litter of newborn animals in your dream,is indicative of the amount of time that an idea has been developing or will take to develop look at the number in the litter to give you that approximate amount of time alternatively the dream ers to issues of codependency
litter box,litter-box,To see or clean a litter box in your dream,to see or clean a litter box in your dream,represents your shameful thoughts
little,little,small,small,small
little person,little-person,To see a little person in your dream,to see a little person in your dream,suggests that you are feeling small or overlooked you feel that others do not think you can do things for yourself
liver,liver,To see yours or someone else's liver in your dream,to see yours or someone elses liver in your dream,suggests the possibility of a physical disorder the dream forewarns that you need to reduce your alcohol consumption you need to reevaluate your physical health and perhaps even go get a doctors physical alternatively it indicates that someone in your life does not have your best interest at heart you are being belittled
living room,living-room,To dream that you are in the living room,to dream that you are in the living room,represents the image that you portray to others and the way which you go about your life it is representative of your basic beliefs about yourself and who you are alternatively the living room is indicative of your freedom and space the living room is a symbolic boundary between your personal self and your public self objects that do not belong in the living room denote the various aspects of your life that are invading your personal space
lizard,lizard,To see a lizard in your dream,to see a lizard in your dream,signifies your primal instincts and reactions toward sex food etc and your anxieties toward these feelings the lizard may also be representative of a person who you view as coldblooded fearful or thickskinned on a more positive note the lizard also symbolizes emerging creativity renewal and revitalization it may suggest that you are wellgrounded
llama,llama,To see a llama in your dream,to see a llama in your dream,represents deep trust strength and endurance it may also mean that you are worrying too much and carrying too many problems
load,load,To see or carry a load in your dream,to see or carry a load in your dream,symbolizes the huge responsibilities that you are carrying you may be taking on too much responsibilities or are feeling overburdened alternatively the dream may be a metaphor to signify someone or something is loaded
loaf,loaf,bread,bread,bread
loan,loan,To dream that you need a loan,to dream that you need a loan,signifies your worries over money matters alternatively the dream is telling you that it is okay to ask for help and lean on the support from friends and family you may be too selfreliant and that you can do it all
lobby,lobby,To dream that you are in a lobby,to dream that you are in a lobby,indicates that you are trying to make something known
lobotomy,lobotomy,To see or dream that you have a lobotomy,to see or dream that you have a lobotomy,indicates that you are either trying to get to your subconscious and access its insights or you are trying to suppress it and erase it from your consciousness alternatively the dream means that you are under tremendous mental stress
lobster,lobster,To see a lobster in your dream,to see a lobster in your dream,represents strength and persistence you will hold your own ground and overcome minor difficulties and problems
lobster,lobster,To dream that you are eating lobster,to dream that you are eating lobster,indicates that you will regain your confidence
loch ness monster,loch-ness-monster,To see a Loch Ness Monster in your dream,to see a loch ness monster in your dream,symbolizes disappointments or misunderstanding in some situation or relationship you may have unrealistic goals and setting yourself up for failure
lock,lock,To see a lock in your dream,to see a lock in your dream,signifies your inability to get what you want you are being kept out of some activity or situation perhaps an aspect of yourself is locked up inside and it needs to be expressed
lock,lock,To dream that a lock is accidentally shut around your wrist,to dream that a lock is accidentally shut around your wrist,suggests that you are debating on whether to be more open about your feelings or keep them to yourself you feel that you are taking a major risk in letting your feelings known
lock,lock,Dreaming about changing locks,dreaming about changing locks,mean that you are taking matters into your own hand it also indicates that you are shutting out someone who you were previously close to
lock,lock,Lock,lock,to dream that a lock is broken is a metaphor that you are feeling insecure either emotionally or physically
lock,lock,To see a puzzle lock in your dream,to see a puzzle lock in your dream,implies that you need to caully think about how to proceed with a situation before acting you need to have patience and calmness or else you will risk isolating yourself
lockdown,lockdown,"To dream that you are on lockdown at a school, office or public space",to dream that you are on lockdown at a school office or public space,represents a situation where you feel you have no control of or that you are physically helpless this may point to a controlling relationship also consider the significance of where the lockdown is located specifically if you dream that a school is on lockdown then it suggests that you are experiencing some pressure at school more directly it may be related to news of schools being on lockdown and the fear that it could happen at your school or office
lockjaw,lockjaw,To dream that you have lockjaw may,to dream that you have lockjaw may,lect the current state of your body while you are dreaming during the rem state of sleep your body is immobile and essentially paralyzed not being able to move your jaw is similar to those who report not being able to hit or run despite how hard they try symbolically dreaming of having lockjaw may also mean that you feel unable to express yourself you feel that your opinion doesnt matter or that no one takes what you say seriously
locked,locked,To dream that you are locked out,to dream that you are locked out,suggests that you are feeling alienated or unaccepted you have difficulties getting in touch with your feelings consider what and where you are being locked out of
locker,locker,To see or use a locker in your dream,to see or use a locker in your dream,signifies aspects of yourself which you have kept hidden inside consider what items and belongings are in the locker in particular to dream of a school locker denotes hidden feelings knowledge and attitudes that you need to learn andor acknowledge to dream of a pe locker ers to physical abilities that you have yet to recognize you are experiencing some physical limitations
locker,locker,To dream that you cannot open a locker or that your forgot the combination,to dream that you cannot open a locker or that your forgot the combination,suggests that you are unsure of where you stand in a particular situation you feel you have lost some aspect of yourself in other words you are on shaky ground if you cannot find your locker then it symbolizes your insecurities about your role or position in a situation
locker,locker,To dream that someone else is using your locker,to dream that someone else is using your locker,suggests that someone can see right through you and your facade you feel that this person has access to your hidden self
locker room,locker-room,To dream that you are in a locker room,to dream that you are in a locker room,suggests that you need time to cool off and calm down you are involved in some tough competition or are trying to overcome perhaps you are trying to pursue a love interest
locket,locket,To see or wear a locket in your dream,to see or wear a locket in your dream,signifies a long lasting relationship the dream may also be a pun on lock it perhaps there is something that you need to keep safe consider the shape of the locket and what is inside it
locksmith,locksmith,To see or dream that you are a locksmith,to see or dream that you are a locksmith,suggests that you will play an integral role in an important upcoming project alternatively the dream means that you have the power and knowledge to unlock the contents of your subconscious you need to confront your repressed thoughts and emotions
locomotive,locomotive,To see a locomotive in your dream,to see a locomotive in your dream,ers to your drive to move forward and succeed in life alternatively a locomotive represents the burden that you are carrying along with you throughout your life the dream may also be a pun for crazy motive
locusts,locusts,To see locusts in your dream,to see locusts in your dream,signify greed or lack of psychological nourishment you feel your creativity is being destroyed alternatively locusts represent cycles and transformation the dream may also mean that you are indecisive about something
lodestone,lodestone,To see a lodestone in your dream,to see a lodestone in your dream,signifies your alluring and magnetic personality others are drawn to you
lodge,lodge,To dream that you are at a recreational lodge,to dream that you are at a recreational lodge,indicates that you feel stuck with where you are at in life you are not sure what you want to do and where you want to go alternatively being in a lodge means that you need to take time for yourself and away from the stresses of your daily life
log,log,To see a log in your dream,to see a log in your dream,represents a significant and meaningful aspect of yourself it may lect some subconscious idea alternatively a log signifies a transformation you are headed toward a new direction in your life the dream may also be metaphor that you are being a log or lazy you need to get up and take action
log,log,To dream that you are sitting on a log,to dream that you are sitting on a log,indicates personal satisfaction and joy in you life
log,log,To see a log floating in water,to see a log floating in water,represents new opportunities you may be overlooking something important
loincloth,loincloth,To wear a loincloth in your dream,to wear a loincloth in your dream,represents raw male sexuality
lollipop,lollipop,To see or lick a lollipop in your dream,to see or lick a lollipop in your dream,indicates surprises new experiences and adventures it also represents indulgence sensuality and the pleasant aspects of your life alternatively the lollipop may be a pun for sucker and thus suggests that you need to proceed with caution in some relationship or situation someone may be taking advantage of you
london,london,To dream of the city of London,to dream of the city of london,signifies nobility you have an elevated sense of self
loneliness,loneliness,alone,alone,alone
long,long,To dream of anything long,to dream of anything long,ers to the penis andor issues of power and prowess the dream is about how your compare yourself to others or how others perceive you metaphorically it may indicate that a situation or relationship has gone on too long
looking glass,looking-glass,mirror,mirror,mirror
loom,loom,To see or use a loom in your dream,to see or use a loom in your dream,represents how you are expressing your individuality and creativity this dream symbol may be a metaphor for weaving your destiny you have control of your own fate and destiny
loon,loon,To see a loon in your dream,to see a loon in your dream,suggests that you have the ability to dig deep and bring up subconscious wisdom you need to get to the bottom of some situation and look within yourself for the answers it is time for selfexploration selflection and introspection the dream may also be a metaphor for someone who is loony or crazy
loop de loop,loop-de-loop,To dream that you or something is moving in a loop de loop,to dream that you or something is moving in a loop de loop,signifies the ups and downs of your life you are not sure of the direction you are headed alternatively dreaming of loop de loops implies that you are being mislead or tricked
loot,loot,To dream that you are looting,to dream that you are looting,implies that some of your basic needs are not being met alternatively the dream means that you have a false sense of control andor power
loot,loot,To see others looting in your dream,to see others looting in your dream,forewarns of someone in your life who is opportunistic perhaps you are being taken advantage of
lorry,lorry,truck,truck,truck
los angeles,los-angeles,To dream of Los Angeles,to dream of los angeles,signifies opportunities you need to learn to create your own success known as the city of angels your dream may relate to your spiritual quest
lose,lose,To dream that you lose something,to dream that you lose something,indicates that you may really have misplaced something that you had not realized yet it may also be a signal for you to clean out and reorganize your life perhaps you are overwhelmed and distracted with the hustle and bustle of daytoday life alternatively losing something often coincides with a significant life change or waking issue
lose,lose,On a symbolic note losing things in your dream,on a symbolic note losing things in your dream,suggests lost opportunities past relationships or forgotten aspects of yourself your personal associations to the thing you lose will clue you into the emotional meaning and interpretation of your dream
lost,lost,To dream that you are lost,to dream that you are lost,suggests that you have lost your direction in life or that you have lost sight of your goals you may be feeling worried and insecure about the path you are taking in life if you try to call for help then it means that you are trying to reach out for support you are looking for someone to lean on alternatively being lost means that you are still adjusting to a new situation in which the rules and conditions are ever changing
lost,lost,To dream that someone else is lost,to dream that someone else is lost,represents some unresolved issues or feelings pertaining to the person that is lost consider what aspect of that person you may have lost within your own self perhaps you need to recapture and reacknowledge those aspects
lotion,lotion,cream,cream,cream
lottery,lottery,To dream of playing the lottery,to dream of playing the lottery,suggests that you are relying too much on fate instead of taking responsibility for your own actions or decisions you need to reconsider some issue or situation before committing to it
lottery,lottery,To dream that you win the lottery,to dream that you win the lottery,represents your inner desires to live without having to worry about financial and material troubles alternatively the dream may be a metaphor that your number has come up and thus imply trouble coming your way
lottery ticket,lottery-ticket,To see a lottery ticket in your dream,to see a lottery ticket in your dream,indicates that you need to leave some aspect of your life to fate learn to let go and let fate take its course if someone gives you a lottery ticket then it means that fate is literally in your hands now
lotus,lotus,To see a lotus in your dream,to see a lotus in your dream,represents enlightenment growth purity beauty and expansion of the soul the image of the lotus serves as encouragement and provides hope in dark and murky times
loud,loud,To hear something or someone loud in your dream,to hear something or someone loud in your dream,indicates that there is something in your waking life that is in need of your attention alternatively the loudness in your dream may be a way for you to divert attention from something else you are hiding from something
louisiana,louisiana,"If you have never been to Louisiana and have a dream that you are in Louisiana, ",if you have never been to louisiana and have a dream that you are in louisiana,then it points to your tendency to keep your feelings to yourself perhaps you are being cautious or mysterious alternatively dreaming about louisiana means that you need to add some pizzazz or spice to your life
lounge,lounge,To dream that you are in a lounge,to dream that you are in a lounge,suggests that you need to stop and take a break from some problem or issue in your waking life you need to step back from the problem to cool off or to gain some perspective alternatively the dream means that you are being lazy
louse,louse,lice,lice,lice
love,love,To dream of love or being in love,to dream of love or being in love,suggests intense feelings carried over from a waking relationship it ers to your contentment with what you already have and where you are in life on the other hand the dream may be compensatory and implies that you may not be getting enough love in your life we naturally long for the sense to belong and to be accepted
love,love,"Dreaming of saying the words ""I love you""",dreaming of saying the words i love you,implies that you are ready for love and want to give love to hear someone say i love you signifies that you are ready to accept love into your life if you say i love you to someone and he or she doesnt say it back then it represents uncertainty in your relationship perhaps you feel that you are giving more than you are getting back
love,love,To see a couple in love or expressing love to each other,to see a couple in love or expressing love to each other,indicates success ahead for you
love,love,To dream that your friend is in love with you ,to dream that your friend is in love with you,may be one of wish fulfillment perhaps you have developed feelings for your friend and are wondering how he or she feels your preoccupation has found its way into your dreaming mind on the other hand the dream may suggests that you have accepted certain qualities of your friend and incorporated it into your own character
love,love,To dream that you are making love in public or in different places,to dream that you are making love in public or in different places,relates to some overt sexual issue or need your dream may be telling you that you need to express yourself more openly alternatively it represents your perceptions about your own sexuality in the context of social norms you may be questioning your feelings about sex marriage love and gender roles
love,love,To dream of your lost love,to dream of your lost love,represents an idealistic relationship you are looking for romance excitement and freshness that is lacking in your present relationship
